"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
"12","Tue, 13 Nov 2018 02:09:52 +0000","20181113.0209.001","CTD911","deploy","NaN","L07","005"," 40.228193"," -70.877876","","hLiu","","ar32","ar32-SE-20181113.0209.001","20181113.0209","2018/11/13 02:09:52","2018-11-13T02:09:52+0000","","","plain"
"13","Tue, 13 Nov 2018 02:18:36 +0000","20181113.0218.001","Bongo Net","deploy","NaN","L05","03"," 40.508390"," -70.883345","","jSuca1","","ar32","ar32-SE-20181113.0218.001","20181112.2250","2018/11/12 22:49:57","2018-11-12T22:50:00+0000","","","plain"
"14","Tue, 13 Nov 2018 02:20:13 +0000","20181113.0220.001","Bongo Net","deploy","NaN","L06","04"," 40.360815"," -70.876405","","jSuca1","","ar32","ar32-SE-20181113.0220.001","20181113.0048","2018/11/13 00:47:57","2018-11-13T00:48:00+0000","","","plain"
"15","Tue, 13 Nov 2018 02:31:56 +0000","20181113.0231.001","CTD911","recover","NaN","L07","005"," 40.228216"," -70.877889","","hLiu","","ar32","ar32-SE-20181113.0231.001","20181113.0231","2018/11/13 02:31:56","2018-11-13T02:31:56+0000","","","plain"
"16","Tue, 13 Nov 2018 05:17:58 +0000","20181113.0517.001","CTD911","deploy","NaN","L10","06"," 39.941243"," -70.892713","","jForsyth","","ar32","ar32-SE-20181113.0517.001","20181113.0511","2018/11/13 05:10:57","2018-11-13T05:11:00+0000","","","plain"
"17","Tue, 13 Nov 2018 05:48:43 +0000","20181113.0548.001","Bongo Net","deploy","NaN","L07","05"," 40.227085"," -70.876625","","hMcmonagle","","ar32","ar32-SE-20181113.0548.001","20181113.0252","2018/11/13 02:51:57","2018-11-13T02:52:00+0000","","","plain"
"18","Tue, 13 Nov 2018 06:30:37 +0000","20181113.0630.001","CTD911","recover","NaN","L10","06"," 39.941243"," -70.892724","","jForsyth","","ar32","ar32-SE-20181113.0630.001","20181113.0542","2018/11/13 05:41:57","2018-11-13T05:42:00+0000","","","plain"
"19","Tue, 13 Nov 2018 07:12:30 +0000","20181113.0712.001","Bongo Net","deploy","NaN","L10","06"," 39.941159"," -70.892642","","hMcmonagle","","ar32","ar32-SE-20181113.0712.001","20181113.0552","2018/11/13 05:51:57","2018-11-13T05:52:00+0000","","","plain"
"20","Tue, 13 Nov 2018 07:41:09 +0000","20181113.0741.001","CTD911","deploy","","L11","7"," 39.774364"," -70.882320","1579","jSanSoucie","","ar32","ar32-SE-20181113.0741.001","20181113.0741","2018/11/13 07:41:09","2018-11-13T07:41:09+0000","","","plain"
"21","Tue, 13 Nov 2018 08:31:46 +0000","20181113.0831.001","CTD911","recover","NaN","L11","07"," 39.776230"," -70.878497","","jForsyth","","ar32","ar32-SE-20181113.0831.001","20181113.0831","2018/11/13 08:31:46","2018-11-13T08:31:46+0000","","","plain"
"22","Tue, 13 Nov 2018 08:44:34 +0000","20181113.0844.001","Bongo Net","deploy","NaN","L11","07"," 39.776158"," -70.877740","","jLlopiz1","","ar32","ar32-SE-20181113.0844.001","20181113.0837","2018/11/13 08:37:57","2018-11-13T08:37:57+0000"," & Tue Nov 13 08:46:17 2018","","plain"
"23","Tue, 13 Nov 2018 09:49:55 +0000","20181113.0949.001","RMT8 Midwater Trawl","deploy","NaN","L11","7"," 39.766203"," -70.867691","","hMcmonagle","Approx deployment time for 10m^2 midwater tucker. Target depth 1000m.","ar32","ar32-SE-20181113.0949.001","20181113.0914","2018/11/13 09:14:57","2018-11-13T09:14:57+0000"," & Tue Nov 13 13:21:52 2018","","plain"
"24","Tue, 13 Nov 2018 09:52:55 +0000","20181113.0952.001","IFCB continuous","start","NaN","NaN","NaN"," 41.439768"," -70.777412","","hMcmonagle","Approx start acquisition time.","ar32","ar32-SE-20181113.0952.001","20181112.1320","2018/11/12 13:19:57","2018-11-12T13:20:00+0000","","","plain"
