"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
26,Tue  02 May 2023 13:04:16 +0000,"20230502.1302.001","Ship","startCruise","NaN","NaN","NaN"," 41.515032"," -70.671395",,"tCrockford1",,"hrs2303HS","20230502.1302.001","20230429.0330","2023/04/29 03:29:51","2023-04-29T03:30:00+00:00",
27,Tue  02 May 2023 13:10:42 +0000,"20230502.1310.001","Ship","other","NaN","NaN","NaN"," 41.523943"," -70.672175",,"tCrockford1","Depart dock after waiting for weather to pass","hrs2303HS","20230502.1310.001","20230502.1300","2023/05/02 12:59:51","2023-05-02T13:00:00+00:00"," & Tue May  2 16:46:18 2023 & Tue May  2 17:46:21 2023"
28,Tue  02 May 2023 14:55:32 +0000,"20230502.1454.001","ADCP300","start","NaN","NaN","NaN"," 41.492728"," -70.687522",,"mFerguson1",,"hrs2303HS","20230502.1454.001","20230502.1347","2023/05/02 13:47:06","2023-05-02T13:47:08+00:00",
29,Tue  02 May 2023 14:56:48 +0000,"20230502.1455.001","Simrad EK-80","start","NaN","NaN","NaN"," 41.483798"," -70.707753",,"mFerguson1","passive test","hrs2303HS","20230502.1455.001","20230502.1404","2023/05/02 14:04:36","2023-05-02T14:04:38+00:00",
30,Tue  02 May 2023 14:57:55 +0000,"20230502.1456.001","Simrad EK-80","stop","NaN","NaN","NaN"," 41.471922"," -70.720135",,"mFerguson1","end passive test","hrs2303HS","20230502.1456.001","20230502.1450","2023/05/02 14:49:51","2023-05-02T14:50:00+00:00",
31,Tue  02 May 2023 14:59:07 +0000,"20230502.1457.001","Simrad EK-80","start","NaN","NaN","NaN"," 41.471642"," -70.720453",,"mFerguson1","start active mode","hrs2303HS","20230502.1457.001","20230502.1451","2023/05/02 14:50:51","2023-05-02T14:51:00+00:00",
32,Tue  02 May 2023 16:49:58 +0000,"20230502.1646.001","Ship","other","NaN","NaN","NaN"," 41.523938"," -70.672177",,"tCrockford1","return to dock to shelter from weatehr","hrs2303HS","20230502.1646.001","20230429.1815","2023/04/29 18:14:52","2023-04-29T18:15:00+00:00"," & Tue May  2 17:47:55 2023 & Tue May  2 17:49:08 2023 & Tue May  2 17:54:16 2023"
33,Tue  02 May 2023 17:19:36 +0000,"20230502.1719.001","EIMS","start","NaN","NaN","NaN"," 41.431788"," -70.808375",,"fShigihara1",,"hrs2303HS","20230502.1719.001","20230502.1719","2023/05/02 17:19:35","2023-05-02T17:19:36+00:00",
34,Tue  02 May 2023 17:29:23 +0000,"20230502.1728.001","Attune Flow Cytometer","start","NaN","NaN","NaN"," 41.420648"," -70.829755",,"bStevens1",,"hrs2303HS","20230502.1728.001","20230502.1729","2023/05/02 17:29:22","2023-05-02T17:29:23+00:00",
35,Tue  02 May 2023 17:47:16 +0000,"20230502.1746.001","Underway Science seawater diaphragm pump","start","NaN","NaN","NaN"," 41.506810"," -70.667908",,"tCrockford1",,"hrs2303HS","20230502.1746.001","20230502.1324","2023/05/02 13:23:51","2023-05-02T13:24:00+00:00"," & Tue May  2 17:48:38 2023"
