"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
62,Wed  03 May 2023 18:00:40 +0000,"20230503.1800.001","Underwater PAR","deploy","NaN","L10","PAR05"," 39.938923"," -70.880348",,"aCabanelas1","CTD07","hrs2303HS","20230503.1800.001","20230503.1800","2023/05/03 18:00:36","2023-05-03T18:00:40+00:00"," & Thu May  4 09:34:26 2023"
63,Wed  03 May 2023 18:02:12 +0000,"20230503.1801.001","Bongo Net","deploy","NaN","L9","B06"," 40.047027"," -70.881877",,"aCabanelas1",,"hrs2303HS","20230503.1801.001","20230503.1405","2023/05/03 14:04:51","2023-05-03T14:05:00+00:00"," & Fri May  5 14:23:23 2023"
64,Wed  03 May 2023 18:03:36 +0000,"20230503.1803.001","Bongo Net","recover","NaN","L9","B06"," 40.034065"," -70.895923",,"aCabanelas1",,"hrs2303HS","20230503.1803.001","20230503.1436","2023/05/03 14:35:51","2023-05-03T14:36:00+00:00"," & Fri May  5 14:23:34 2023"
65,Wed  03 May 2023 18:05:34 +0000,"20230503.1805.001","Underwater PAR","recover","NaN","L10","PAR05"," 39.938960"," -70.879222",,"tCrockford1","CTD07; max depth 80","hrs2303HS","20230503.1805.001","20230503.1805","2023/05/03 18:05:36","2023-05-03T18:05:34+00:00"," & Thu May  4 09:35:15 2023 & Thu May  4 09:35:29 2023"
66,Wed  03 May 2023 18:16:35 +0000,"20230503.1813.001","CTD911","deploy","NaN","L10","07"," 39.939300"," -70.876458",,"bGrassian1",,"hrs2303HS","20230503.1813.001","20230503.1816","2023/05/03 18:16:35","2023-05-03T18:16:35+00:00",
67,Wed  03 May 2023 19:38:14 +0000,"20230503.1937.001","Bongo Net","deploy","NaN","L10","B07"," 39.946710"," -70.883635",,"aCabanelas1",,"hrs2303HS","20230503.1937.001","20230503.1938","2023/05/03 19:38:13","2023-05-03T19:38:14+00:00",
68,Wed  03 May 2023 20:04:07 +0000,"20230503.2003.001","Bongo Net","recover","NaN","L10","B07"," 39.927017"," -70.885992",,"aCabanelas1",,"hrs2303HS","20230503.2003.001","20230503.2004","2023/05/03 20:04:07","2023-05-03T20:04:07+00:00"," & Wed May  3 21:34:03 2023"
69,Wed  03 May 2023 21:33:30 +0000,"20230503.2132.001","Isaacs-Kidd Midwater Trawl","startSample","NaN","L11","04"," 39.808325"," -70.883460",,"aCabanelas1",,"hrs2303HS","20230503.2132.001","20230503.2106","2023/05/03 21:05:52","2023-05-03T21:06:00+00:00"," & Thu May  4 04:33:46 2023 & Fri May  5 15:38:41 2023"
70,Wed  03 May 2023 22:39:27 +0000,"20230503.2239.001","Underwater PAR","deploy","NaN","L11","PAR06"," 39.770437"," -70.883130",,"hSosik1","CTD08","hrs2303HS","20230503.2239.001","20230503.2239","2023/05/03 22:39:21","2023-05-03T22:39:27+00:00"," & Thu May  4 09:36:11 2023"
71,Wed  03 May 2023 22:53:22 +0000,"20230503.2253.001","CTD911","deploy","NaN","L11","08"," 39.768860"," -70.884823",,"bStevens1",,"hrs2303HS","20230503.2253.001","20230503.2253","2023/05/03 22:53:18","2023-05-03T22:53:22+00:00"," & Fri May  5 14:16:43 2023"
72,Thu  04 May 2023 00:05:10 +0000,"20230504.0004.001","CTD911","recover","NaN","L11","08"," 39.762683"," -70.895948",,"bGrassian1",,"hrs2303HS","20230504.0004.001","20230504.0005","2023/05/04 00:05:09","2023-05-04T00:05:10+00:00",
